OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
52,2007,DODGE,CARAVAN,Automobile,GRN,,Sunday,Y,Lowertown,Ward 12 - Rideau-Vanier,Sector 24,6/9/2019 5:00:00 AM,6/9/2019 5:00:00 AM,2019,"CHARLOTTE ST, TORMEY ST, BRIGADIER PRIV",Central,5050053.00,Morning,Stéphanie Plante,1000,1000,-75.6767822464804,45.4331137670237
53,2019,"TOYOTA/ TOYOTA MOTOR CO., LTD.",4-RUNNER,Automobile,BLK,,Saturday,Y,Glebe - Dows Lake,Ward 17 - Capital,Sector 22,6/9/2019 5:00:00 AM,6/8/2019 5:00:00 AM,2019,"MELGUND AVE, MONK ST",Central,5050018.00,Evening,Shawn Menard,800,2300,-75.6876447478231,45.4001062664443
54,2008,MAZDA,TRIBUTE,Suv,BLK,6000,Sunday,N,Pineview,Ward 11 - Beacon Hill-Cyrville,Sector 32,6/10/2019 5:00:00 AM,6/9/2019 5:00:00 AM,2019,"AMBROSE DR, FOXWELL ST N",East,5050122.02,Evening,Tim Tierney,500,2200,-75.6107802730027,45.4201045566531
55,,,,Other,,,Sunday,N,Centretown,Ward 14 - Somerset,Sector 23,6/11/2019 5:00:00 AM,6/9/2019 5:00:00 AM,2019,"DERBY PL, GILMOUR ST",Central,5050038.00,Night,Ariel Troster,1600,200,-75.6942256168585,45.4144669413481
56,2004,FORD,F350,Automobile,WHI,,Monday,N,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 10 - Gloucester-Southgate,Sector 34,6/11/2019 5:00:00 AM,6/10/2019 5:00:00 AM,2019,"GABLE PRIV, GATEVILLE PRIV",East,5050001.01,Evening,Jessica Bradley,600,2200,-75.6419221342064,45.3745750234919
57,2007,MAZDA,,Suv,BRN,,Tuesday,Y,Cummings,Ward 13 - Rideau-Rockcliffe,Sector 32,6/11/2019 5:00:00 AM,6/11/2019 5:00:00 AM,2019,"MONTREAL RD, BORTHWICK AVE",East,5050061.00,Night,Rawlson King,700,100,-75.6417114262543,45.4427739149781
58,2016,LEXUS,,Suv,BLK,38800,Monday,N,Bells Corners East,Ward 8 - College,Sector 15,6/11/2019 5:00:00 AM,6/10/2019 5:00:00 AM,2019,"ELLERY CRES, VIRGIL RD",West,5050136.01,Afternoon,Laine Johnson,900,1200,-75.8213260079826,45.3253262667459
59,2011,DODGE,RAM 1500 PU,Truck,BLU,17000,Tuesday,Y,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Ward 23 - Kanata South,Sector 13,6/11/2019 5:00:00 AM,6/11/2019 5:00:00 AM,2019,"FRANK NIGHBOR PL, SILVER SEVEN RD",West,5050160.03,Afternoon,Allan Hubley,1600,1600,-75.9139481322411,45.3024189252084
60,2019,"TOYOTA/ TOYOTA MOTOR CO., LTD.",4-RUNNER,Automobile,BLK,52000,Tuesday,Y,Laurentian,Ward 7 - Bay,Sector 14,6/12/2019 5:00:00 AM,6/11/2019 5:00:00 AM,2019,"CROSSFIELD AVE, FRASER AVE",West,5050032.02,Evening,Theresa Kavanagh,800,2300,-75.7618137724378,45.3841574323845
61,2019,"TOYOTA/ TOYOTA MOTOR CO., LTD.",4-RUNNER,Suv,WHI,,Tuesday,N,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Sector 25,6/12/2019 5:00:00 AM,6/11/2019 5:00:00 AM,2019,"DONALD ST, MARGUERITE AVE",Central,5050013.00,Evening,Rawlson King,800,2300,-75.6657501829887,45.4270793857585
62,2007,"TOYOTA/ TOYOTA MOTOR CO., LTD.",COROLLA,Automobile,BLK,,Tuesday,Y,Bridlewood - Emerald Meadows,Ward 23 - Kanata South,Sector 13,6/12/2019 5:00:00 AM,6/11/2019 5:00:00 AM,2019,"EQUESTRIAN DR, SILVER HORSE CRES",West,5050161.05,Evening,Allan Hubley,800,2200,-75.857120632696,45.2841029256487
63,2014,"TOYOTA/ TOYOTA MOTOR CO., LTD.",HIGHLANDER,Suv,WHI,,Wednesday,N,New Barrhaven - New Development - Stonebridge,Ward 24 - Barrhaven East,Sector 16,6/13/2019 5:00:00 AM,6/12/2019 5:00:00 AM,2019,"BERRIGAN DR, LONGFIELDS DR",West,5050141.05,Evening,Wilson Lo,700,1900,-75.7414059328952,45.2781942257764
64,2019,DODGE,DURANGO,Automobile,WHI,,Thursday,N,Riverside South - Leitrim,Ward 22 - Riverside South-Findlay Creek,Sector 35,6/13/2019 5:00:00 AM,6/13/2019 5:00:00 AM,2019,"LEITRIM RD, ALBION RD",East,5050126.03,Evening,Steve Desroches,1900,1900,-75.623702363601,45.3203708830214
65,,,,Other,,,Wednesday,N,Borden Farm - Stewart Farm - Parkwood Hills - Fisher Glen,Ward 9 - Knoxdale-Merivale,Sector 17,6/13/2019 5:00:00 AM,6/12/2019 5:00:00 AM,2019,"FOUR SEASONS DR, SHADETREE CRES N",West,5050131.02,Evening,Sean Devine,1900,2000,-75.7124467120547,45.3534776726309
66,2018,"TOYOTA/ TOYOTA MOTOR CO., LTD.",RAV4,Automobile,GRY,,Wednesday,N,New Barrhaven - New Development - Stonebridge,Ward 24 - Barrhaven East,Sector 16,6/13/2019 5:00:00 AM,6/12/2019 5:00:00 AM,2019,"BERRIGAN DR, LONGFIELDS DR",West,5050141.05,Evening,Wilson Lo,1500,1900,-75.7414059328952,45.2781942257764
67,2009,FORD,SPECIAL,Automobile,RED,,Thursday,Y,Elmvale - Eastway - Riverview - Riverview Park West,Ward 18 - Alta Vista,Sector 33,6/14/2019 5:00:00 AM,6/13/2019 5:00:00 AM,2019,"ROLLAND AVE, SANTA CRUZ PRIV W",East,5050011.04,Afternoon,Marty Carr,1100,1500,-75.6544572954179,45.4100172815012
